customer_id,age,gender,subscription_status,previous_purchases,frequency_of_purchases,location
2701,22,Female,No,36.0,Weekly,California
521,51,Male,Yes,20.0,Quarterly,South Carolina
3157,18,Female,No,18.0,Monthly,Montana
1687,22,Male,No,25.0,Annually,Illinois
2929,40,Female,No,17.0,Weekly,Alabama
3583,23,Female,No,15.0,Annually,California
1135,62,Male,No,2.0,Every 3 Months,Wisconsin
1411,61,Male,No,18.0,Annually,Tennessee
113,37,Male,Yes,28.0,Bi-Weekly,Florida
166,42,Male,Yes,7.0,Monthly,Kentucky
4568,35,Other,No,41.0,Monthly,Phoenix
947,46,Male,Yes,4.0,Quarterly,Pennsylvania
4776,64,Other,No,0.0,Quarterly,Los Angeles
3855,57,Female,No,4.0,Annually,Florida
481,68,Male,Yes,30.0,Bi-Weekly,Vermont
3790,56,Female,No,18.0,Every 3 Months,North Dakota
3617,42,Female,No,33.0,Fortnightly,Wisconsin
2659,52,Female,No,39.0,Monthly,Ohio
3725,30,Female,No,18.0,Annually,Colorado
2134,21,Male,No,13.0,Annually,Maine
4256,70,Male,Yes,25.0,Weekly,Los Angeles
833,58,Male,Yes,28.0,Bi-Weekly,California
1106,33,Male,No,6.0,Every 3 Months,Massachusetts
3047,60,Female,No,25.0,Every 3 Months,Pennsylvania
4685,68,Other,No,0.0,Monthly,Phoenix
1612,41,Male,No,6.0,Monthly,Arkansas
4289,34,Female,No,36.0,Weekly,New York
3552,66,Female,No,20.0,Weekly,Montana
2918,58,Female,No,50.0,Annually,Colorado
1192,34,Male,No,50.0,Quarterly,Indiana
1907,23,Male,No,24.0,Fortnightly,Vermont
1332,38,Male,No,8.0,Bi-Weekly,Maryland
316,66,Male,Yes,24.0,Annually,Wisconsin
347,49,Male,Yes,5.0,Weekly,New Mexico
3115,21,Female,No,45.0,Bi-Weekly,Arkansas
5042,46,Other,Yes,31.0,Monthly,Los Angeles
1498,69,Male,No,16.0,Every 3 Months,Michigan
1606,70,Male,No,15.0,Bi-Weekly,Connecticut
4418,67,Female,No,47.0,Quarterly,Los Angeles
4894,24,Other,No,4.0,Quarterly,Los Angeles
4576,65,Male,No,47.0,Weekly,New York
2486,43,Male,No,37.0,Annually,Louisiana
187,39,Male,Yes,31.0,Annually,Minnesota
275,59,Male,No,28.0,Bi-Weekly,Maryland
1402,23,Male,No,1.0,Weekly,Indiana
1181,23,Male,No,34.0,Monthly,Oregon
2130,40,Male,No,12.0,Every 3 Months,Minnesota
995,53,Male,Yes,20.0,Monthly,New York
1230,34,Male,No,39.0,Annually,Kansas
4319,47,Other,Yes,28.0,Monthly,Houston
4489,36,Female,No,0.0,Monthly,Los Angeles
4708,33,Female,Yes,31.0,Quarterly,New York
4827,20,Female,No,17.0,Monthly,Houston
1348,44,Male,No,47.0,Monthly,Vermont
4584,55,Female,No,0.0,Quarterly,New York
3116,26,Female,No,9.0,Bi-Weekly,South Dakota
1168,60,Male,No,16.0,Quarterly,New Jersey
3685,29,Female,No,47.0,Bi-Weekly,Pennsylvania
4111,49,Male,No,0.0,Weekly,Houston
2850,56,Female,No,27.0,Bi-Weekly,New Hampshire
1636,68,Male,No,40.0,Annually,North Carolina
1489,23,Male,No,37.0,Weekly,Hawaii
3827,50,Female,No,25.0,Annually,Montana
2417,59,Male,No,26.0,Every 3 Months,Nebraska
2832,34,Female,No,4.0,Weekly,Virginia
4607,47,Other,No,27.0,Weekly,Los Angeles
2367,30,Male,No,32.0,Fortnightly,New Mexico
4851,42,Female,No,0.0,Weekly,Chicago
508,65,Male,Yes,33.0,Fortnightly,Maine
4845,19,Female,No,41.0,Weekly,New York
2098,33,Male,No,5.0,Weekly,Iowa
1080,18,Male,No,48.0,Monthly,Oklahoma
4558,41,Other,No,0.0,Monthly,Los Angeles
4492,59,Female,Yes,38.0,Weekly,Phoenix
4292,27,Other,Yes,0.0,Weekly,Houston
3036,69,Female,No,18.0,Bi-Weekly,Kentucky
3554,62,Female,No,32.0,Weekly,Minnesota
2077,59,Male,No,22.0,Bi-Weekly,Florida
3088,62,Female,No,29.0,Monthly,North Carolina
3739,34,Female,No,48.0,Fortnightly,Delaware
3309,55,Female,No,29.0,Monthly,Utah
2922,20,Female,No,11.0,Fortnightly,Wisconsin
4156,51,Other,Yes,7.0,Monthly,Chicago
4869,26,Female,No,0.0,Monthly,Phoenix
660,62,Male,Yes,8.0,Weekly,Virginia
3632,48,Female,No,26.0,Monthly,New Jersey
3217,39,Female,No,18.0,Weekly,Illinois
3696,38,Female,No,18.0,Fortnightly,Florida
146,24,Male,Yes,44.0,Quarterly,Missouri
693,35,Male,Yes,40.0,Every 3 Months,North Dakota
1837,66,Male,No,35.0,Monthly,South Carolina
598,70,Male,Yes,19.0,Fortnightly,Alaska
165,59,Male,Yes,5.0,Fortnightly,Delaware
1186,47,Male,No,29.0,Monthly,Maine
3328,47,Female,No,2.0,Quarterly,Connecticut
4404,67,Male,Yes,20.0,Monthly,New York
4153,67,Other,No,31.0,Monthly,Los Angeles
4587,52,Male,Yes,0.0,Quarterly,Phoenix
4057,41,Female,No,10.0,Quarterly,Los Angeles
3889,45,Female,No,14.0,Bi-Weekly,Virginia
106,69,Male,Yes,4.0,Annually,New York
4176,23,Male,No,0.0,Weekly,Chicago
63,30,Male,Yes,31.0,Fortnightly,Mississippi
3455,55,Female,No,15.0,Bi-Weekly,Louisiana
2500,52,Male,No,2.0,Quarterly,Louisiana
2136,34,Male,No,1.0,Every 3 Months,California
3584,52,Female,No,44.0,Every 3 Months,Arizona
4118,18,Other,Yes,0.0,Quarterly,Phoenix
2547,63,Male,No,4.0,Quarterly,Texas
4972,46,Other,No,3.0,Monthly,New York
3365,50,Female,No,7.0,Monthly,Oregon
1637,58,Male,No,49.0,Fortnightly,North Dakota
2000,39,Male,No,26.0,Monthly,Tennessee
2603,65,Male,No,1.0,Quarterly,South Carolina
2700,25,Female,No,49.0,Annually,Utah
4189,38,Male,Yes,0.0,Weekly,Los Angeles
3371,30,Female,No,46.0,Fortnightly,Illinois
3599,23,Female,No,19.0,Bi-Weekly,Connecticut
4072,63,Male,No,0.0,Quarterly,Los Angeles
1432,39,Male,No,29.0,Quarterly,South Dakota
2381,41,Male,No,36.0,Fortnightly,Pennsylvania
2120,58,Male,No,36.0,Bi-Weekly,Nebraska
3502,53,Female,No,43.0,Weekly,Nebraska
3551,63,Female,No,32.0,Weekly,West Virginia
712,64,Male,Yes,13.0,Bi-Weekly,New Hampshire
1337,23,Male,No,44.0,Fortnightly,Oregon
1047,40,Male,Yes,12.0,Annually,Illinois
2225,18,Male,No,38.0,Quarterly,Nebraska
3525,69,Female,No,30.0,Monthly,Michigan
4530,20,Male,Yes,0.0,Monthly,New York
3199,61,Female,No,39.0,Weekly,Pennsylvania
