item_purchased,size,color,category,season,review_rating,purchase_amount,discount_applied,shipping_type,payment_method,customer_id
T-shirt,XL,Olive,Clothing,Winter,3.2,68.0,No,Standard,Cash,2701
Sunglasses,Free Size,White,Accessories,Spring,3.9,84.0,Yes,Free Shipping,Debit Card,521
Shirt,M,Black,Clothing,Winter,3.1,50.0,No,2-Day Shipping,Cash,3157
Gloves,Free Size,Red,Accessories,Fall,4.2,75.0,No,Store Pickup,Cash,1687
Jewelry,Free Size,Yellow,Accessories,Spring,3.6,80.0,No,Store Pickup,Credit Card,2929
Shorts,S,Beige,Clothing,Summer,3.4,41.0,No,2-Day Shipping,PayPal,3583
T-shirt,M,Brown,Clothing,Summer,3.7945205479452055,81.0,Yes,Express,Venmo,1135
Hat,Free Size,Purple,Accessories,Summer,4.0,93.0,Yes,Store Pickup,Debit Card,1411
Gloves,Free Size,Red,Accessories,Spring,4.3,65.0,Yes,Free Shipping,PayPal,113
Handbag,Free Size,Yellow,Accessories,Winter,2.8,60.0,Yes,Store Pickup,Credit Card,166
Shoes,M,Blue,Footwear,Autumn,3.5454545454545454,277.3683027522936,Yes,Express,Credit Card,4568
Coat,XL,Blue,Outerwear,Spring,2.8,24.0,Yes,Next Day Air,PayPal,947
Laptop,Not Applicable,Black,Electronics,Spring,3.1515151515151514,884.04,No,Express,Credit Card,4776
Shirt,M,Black,Clothing,Spring,4.2,20.0,No,Free Shipping,Venmo,3855
Hoodie,M,Gray,Clothing,Summer,4.8,88.0,Yes,Standard,Debit Card,481
Shirt,M,Magenta,Clothing,Summer,3.8,75.0,No,Express,Bank Transfer,3790
Hoodie,L,Purple,Clothing,Winter,3.3,23.0,No,Store Pickup,Debit Card,3617
Handbag,Free Size,Indigo,Accessories,Summer,3.2,47.0,No,Next Day Air,PayPal,2659
Gloves,Free Size,Green,Accessories,Winter,3.1,71.0,No,Express,Bank Transfer,3725
Hat,Free Size,Olive,Accessories,Summer,3.8,34.0,No,Standard,Bank Transfer,2134
Phone,Not Applicable,Green,Electronics,Autumn,2.9156626506024095,752.5371604938272,Yes,Standard,Cash,4256
Jacket,L,Blue,Outerwear,Fall,2.5,80.0,Yes,Express,Cash,833
T-shirt,S,Olive,Clothing,Spring,3.0,83.0,Yes,Next Day Air,Venmo,1106
Shoes,M,White,Footwear,Spring,3.2,49.0,No,Store Pickup,Cash,3047
Phone,Not Applicable,Black,Electronics,Summer,2.9156626506024095,1032.09,No,Express,PayPal,4685
Pants,L,Yellow,Clothing,Winter,4.5,26.0,Yes,Next Day Air,Debit Card,1612
Phone,Not Applicable,Red,Electronics,Autumn,2.9156626506024095,1282.44,Yes,Express,PayPal,4289
Gloves,Free Size,Black,Accessories,Spring,2.6,31.0,No,Store Pickup,Venmo,3552
Shirt,XL,White,Clothing,Winter,2.9,45.0,No,Store Pickup,Venmo,2918
T-shirt,L,Charcoal,Clothing,Winter,4.1,70.0,Yes,Free Shipping,Venmo,1192
Backpack,Free Size,Green,Accessories,Spring,4.6,30.0,No,2-Day Shipping,PayPal,1907
Socks,M,Lavender,Clothing,Spring,3.2,91.0,Yes,Standard,PayPal,1332
Jewelry,Free Size,Orange,Accessories,Spring,4.5,24.0,Yes,Express,Debit Card,316
Jeans,L,Violet,Clothing,Spring,4.7,50.0,Yes,Next Day Air,Cash,347
Handbag,Free Size,Olive,Accessories,Spring,4.7,56.0,No,Store Pickup,Venmo,3115
Bag,Free Size,White,Accessories,Summer,3.159090909090909,737.5294936708862,No,Express,PayPal,5042
Jacket,S,Magenta,Outerwear,Spring,3.8,33.0,Yes,2-Day Shipping,Debit Card,1498
Belt,Free Size,Lavender,Accessories,Winter,3.4,46.0,Yes,Next Day Air,Credit Card,1606
Watch,Not Applicable,Red,Electronics,Autumn,3.0759493670886076,662.1159090909091,No,Express,PayPal,4418
Bag,Free Size,Red,Accessories,Spring,3.159090909090909,737.5294936708862,No,Standard,PayPal,4894
Headphones,Not Applicable,Black,Electronics,Summer,3.1139240506329116,825.1690217391305,Yes,Standard,Cash,4576
Blouse,M,Beige,Clothing,Spring,4.6,55.0,No,2-Day Shipping,Bank Transfer,2486
Backpack,Free Size,Lavender,Accessories,Summer,2.9,56.0,Yes,Standard,Debit Card,187
Jewelry,Free Size,Indigo,Accessories,Spring,3.0,32.0,Yes,Express,Cash,275
Sandals,M,Blue,Footwear,Fall,3.5,59.0,Yes,2-Day Shipping,PayPal,1402
Skirt,S,Beige,Clothing,Spring,4.9,23.0,Yes,Standard,Cash,1181
Skirt,L,Orange,Clothing,Fall,2.8,57.0,No,Store Pickup,PayPal,2130
Shoes,L,Violet,Footwear,Fall,3.2,68.0,Yes,Express,Debit Card,995
Jewelry,Free Size,Maroon,Accessories,Winter,3.6,52.0,Yes,Express,Bank Transfer,1230
Watch,Not Applicable,Green,Electronics,Summer,3.0759493670886076,662.1159090909091,Yes,Express,PayPal,4319
Phone,Not Applicable,Red,Electronics,Summer,2.9156626506024095,748.61,No,Express,PayPal,4489
Bag,Free Size,Green,Accessories,Winter,4.0,737.5294936708862,Yes,Standard,Debit Card,4708
Laptop,Not Applicable,Green,Electronics,Summer,3.1515151515151514,809.5398611111111,No,Express,Debit Card,4827
Shirt,M,Cyan,Clothing,Summer,3.9,95.0,Yes,2-Day Shipping,Bank Transfer,1348
Watch,Not Applicable,Black,Electronics,Autumn,5.0,662.1159090909091,Yes,Express,Debit Card,4584
Scarf,Free Size,Charcoal,Accessories,Fall,4.1,53.0,No,Free Shipping,Bank Transfer,3116
Socks,XL,Beige,Clothing,Summer,3.6,83.0,Yes,Free Shipping,PayPal,1168
Skirt,L,Charcoal,Clothing,Spring,4.4,86.0,No,Free Shipping,Credit Card,3685
Phone,Not Applicable,Black,Electronics,Summer,2.9156626506024095,752.5371604938272,No,Express,PayPal,4111
Coat,M,Gold,Outerwear,Spring,4.1,25.0,No,Express,PayPal,2850
Sunglasses,Free Size,Violet,Accessories,Summer,3.2,24.0,Yes,Standard,Cash,1636
Hat,Free Size,Pink,Accessories,Winter,4.0,44.0,Yes,Standard,Credit Card,1489
Jacket,M,Gray,Outerwear,Summer,4.0,31.0,No,Express,Bank Transfer,3827
Sandals,S,Black,Footwear,Summer,4.0,83.0,No,Next Day Air,Credit Card,2417
Hoodie,L,Pink,Clothing,Winter,5.0,53.0,No,Express,Credit Card,2832
Shirt,L,White,Clothing,Autumn,3.4741258741258743,557.24,Yes,Express,PayPal,4607
Shoes,L,Brown,Footwear,Winter,3.6,66.0,No,Express,Credit Card,2367
Watch,Not Applicable,Blue,Electronics,Autumn,3.0759493670886076,662.1159090909091,Yes,Standard,Cash,4851
Shorts,M,Magenta,Clothing,Spring,5.0,20.0,Yes,Store Pickup,Debit Card,508
Shirt,M,Red,Clothing,Summer,3.4741258741258743,692.11,Yes,Express,Debit Card,4845
Sneakers,S,Cyan,Footwear,Winter,3.9,43.0,No,Next Day Air,Credit Card,2098
Coat,S,Blue,Outerwear,Summer,4.4,33.0,Yes,Free Shipping,Bank Transfer,1080
Bag,Free Size,White,Accessories,Autumn,3.159090909090909,208.02,Yes,Standard,PayPal,4558
Laptop,Not Applicable,Green,Electronics,Spring,1.0,809.5398611111111,Yes,Standard,Debit Card,4492
Laptop,Not Applicable,Blue,Electronics,Summer,3.1515151515151514,809.5398611111111,Yes,Express,Credit Card,4292
Handbag,Free Size,Gold,Accessories,Spring,4.5,64.0,No,Free Shipping,Cash,3036
Shoes,M,Charcoal,Footwear,Spring,4.9,99.0,No,Free Shipping,Bank Transfer,3554
Gloves,Free Size,Indigo,Accessories,Fall,4.6,23.0,No,Free Shipping,Debit Card,2077
Shirt,M,Charcoal,Clothing,Spring,3.1,84.0,No,Free Shipping,Bank Transfer,3088
Shorts,M,Brown,Clothing,Spring,2.7,45.0,No,Free Shipping,Cash,3739
Jeans,M,Pink,Clothing,Fall,2.6,70.0,No,Express,Cash,3309
Handbag,Free Size,Cyan,Accessories,Fall,4.6,24.0,No,Standard,Cash,2922
Shirt,XL,Red,Clothing,Summer,2.0,1398.9,No,Express,PayPal,4156
Headphones,Not Applicable,Red,Electronics,Winter,3.0,500.3,No,Express,PayPal,4869
Shorts,S,Gold,Clothing,Spring,3.6,52.0,Yes,2-Day Shipping,Cash,660
Hat,Free Size,Peach,Accessories,Fall,2.9,50.0,No,Store Pickup,Credit Card,3632
Hoodie,S,Olive,Clothing,Winter,3.4,85.0,No,Next Day Air,Cash,3217
Skirt,M,White,Clothing,Fall,4.6,33.0,No,Standard,Bank Transfer,3696
Jewelry,Free Size,Teal,Accessories,Fall,4.5,95.0,Yes,Standard,Debit Card,146
Sunglasses,Free Size,Cyan,Accessories,Spring,4.0,95.0,Yes,2-Day Shipping,Debit Card,693
Pants,M,Teal,Clothing,Fall,4.2,52.0,No,2-Day Shipping,Credit Card,1837
Jewelry,Free Size,Gold,Accessories,Summer,3.4,69.0,Yes,Standard,Bank Transfer,598
Handbag,Free Size,Purple,Accessories,Spring,2.6,65.0,Yes,Free Shipping,Credit Card,165
Jeans,M,Magenta,Clothing,Spring,3.9,64.0,Yes,Standard,Credit Card,1186
Shorts,M,Black,Clothing,Spring,4.1,64.0,No,Express,Debit Card,3328
Watch,Not Applicable,Blue,Electronics,Winter,3.0759493670886076,498.03,Yes,Standard,Debit Card,4404
Shoes,M,Red,Footwear,Spring,3.5454545454545454,277.3683027522936,No,Express,Credit Card,4153
Laptop,Not Applicable,White,Electronics,Winter,2.0,1392.02,Yes,Standard,Cash,4587
Shoes,M,Black,Footwear,Winter,3.5454545454545454,277.3683027522936,Yes,Standard,Credit Card,4057
Sneakers,M,Violet,Footwear,Spring,3.4,69.0,No,Standard,Venmo,3889
Backpack,Free Size,Charcoal,Accessories,Fall,3.6,96.0,Yes,Next Day Air,Bank Transfer,106
Shoes,XL,Black,Footwear,Autumn,3.5454545454545454,390.25,No,Standard,Credit Card,4176
Sneakers,S,Magenta,Footwear,Spring,3.8,21.0,Yes,Free Shipping,Credit Card,63
Handbag,Free Size,Lavender,Accessories,Fall,4.6,71.0,No,Store Pickup,PayPal,3455
Hoodie,L,Pink,Clothing,Summer,3.1,73.0,No,Next Day Air,Cash,2500
Sunglasses,Free Size,Yellow,Accessories,Winter,4.6,94.0,No,Next Day Air,Debit Card,2136
