item_purchased,size,color,category,season,review_rating,purchase_amount,discount_applied,shipping_type,payment_method,customer_id,age,gender,subscription_status,previous_purchases,frequency_of_purchases,location
T-shirt,XL,Olive,Clothing,Winter,3.2,68.0,No,Standard,Cash,2701,22.0,Female,No,36.0,Weekly,California
Sunglasses,Free Size,White,Accessories,Spring,3.9,84.0,Yes,Free Shipping,Debit Card,521,51.0,Male,Yes,20.0,Quarterly,South Carolina
Shirt,M,Black,Clothing,Winter,3.1,50.0,No,2-Day Shipping,Cash,3157,18.0,Female,No,18.0,Monthly,Montana
Gloves,Free Size,Red,Accessories,Fall,4.2,75.0,No,Store Pickup,Cash,1687,22.0,Male,No,25.0,Annually,Illinois
Jewelry,Free Size,Yellow,Accessories,Spring,3.6,80.0,No,Store Pickup,Credit Card,2929,40.0,Female,No,17.0,Weekly,Alabama
Shorts,S,Beige,Clothing,Summer,3.4,41.0,No,2-Day Shipping,PayPal,3583,23.0,Female,No,15.0,Annually,California
T-shirt,M,Brown,Clothing,Summer,3.7945205479452055,81.0,Yes,Express,Venmo,1135,62.0,Male,No,2.0,Every 3 Months,Wisconsin
Hat,Free Size,Purple,Accessories,Summer,4.0,93.0,Yes,Store Pickup,Debit Card,1411,61.0,Male,No,18.0,Annually,Tennessee
Gloves,Free Size,Red,Accessories,Spring,4.3,65.0,Yes,Free Shipping,PayPal,113,37.0,Male,Yes,28.0,Bi-Weekly,Florida
Handbag,Free Size,Yellow,Accessories,Winter,2.8,60.0,Yes,Store Pickup,Credit Card,166,42.0,Male,Yes,7.0,Monthly,Kentucky
Shoes,M,Blue,Footwear,Autumn,3.5454545454545454,277.3683027522936,Yes,Express,Credit Card,4568,35.0,Other,No,41.0,Monthly,Phoenix
Coat,XL,Blue,Outerwear,Spring,2.8,24.0,Yes,Next Day Air,PayPal,947,46.0,Male,Yes,4.0,Quarterly,Pennsylvania
Laptop,Not Applicable,Black,Electronics,Spring,3.1515151515151514,884.04,No,Express,Credit Card,4776,64.0,Other,No,0.0,Quarterly,Los Angeles
Shirt,M,Black,Clothing,Spring,4.2,20.0,No,Free Shipping,Venmo,3855,57.0,Female,No,4.0,Annually,Florida
Hoodie,M,Gray,Clothing,Summer,4.8,88.0,Yes,Standard,Debit Card,481,68.0,Male,Yes,30.0,Bi-Weekly,Vermont
Shirt,M,Magenta,Clothing,Summer,3.8,75.0,No,Express,Bank Transfer,3790,56.0,Female,No,18.0,Every 3 Months,North Dakota
Hoodie,L,Purple,Clothing,Winter,3.3,23.0,No,Store Pickup,Debit Card,3617,42.0,Female,No,33.0,Fortnightly,Wisconsin
Handbag,Free Size,Indigo,Accessories,Summer,3.2,47.0,No,Next Day Air,PayPal,2659,52.0,Female,No,39.0,Monthly,Ohio
Gloves,Free Size,Green,Accessories,Winter,3.1,71.0,No,Express,Bank Transfer,3725,30.0,Female,No,18.0,Annually,Colorado
Hat,Free Size,Olive,Accessories,Summer,3.8,34.0,No,Standard,Bank Transfer,2134,21.0,Male,No,13.0,Annually,Maine
